case_study,id_neighborhood,boundary,Name,P_peak,Distance,ERA
Center,9873,neighborhoods,Florissant,225,27.7,
Villa,10012,neighborhoods,La Grand-Saconnes,89.13,32.9,
Rural,10323,neighborhoods,Satigny,88.65,35.4,
Urban_el,2889,transformers,Boulevard Helvétique,7427.340205,27.7,231225
Low-rise_el,9953,transformers,Malagnou,213.159900,32.9,30827
High-rise_el,9621,transformers,Palette,3521.962981,32.9,
Countryside_el,9599,transformers,Saconnex-d’Arve,161.001716,35.4,
Urban_GVA,9878,neighborhoods,Boulevard Helvétique,2427.324641,27.7,104680.37
Low-rise_GVA,9757,neighborhoods,Malagnou,110.567003,32.9,15196.37
High-rise_GVA,10384,neighborhoods,Palette,6847.682688,32.9,178166.77
Countryside_GVA,10302,neighborhoods,Saconnex-d’Arve,162.552647,35.4,23413.27
